
HELL
Ceiling: 253, 201, 169
Floor: 220, 100, 30
Player pos >> x:288.000000 (4), y: 96.000000 (1), Player angle: 180.000000
Size of map >> y:3, x: 6
t(3, 2), ray: 0 >> ray: 210.000000, colonm_point: 46
 t(3, 2), ray: 71 >> ray: 202.899994, colonm_point: 24
 t(3, 2), ray: 72 >> ray: 202.800003, colonm_point: 24
 t(3, 2), ray: 73 >> ray: 202.699997, colonm_point: 24
 t(3, 2), ray: 74 >> ray: 202.600006, colonm_point: 23
 t(3, 2), ray: 75 >> ray: 202.500000, colonm_point: 23
 t(3, 2), ray: 76 >> ray: 202.399994, colonm_point: 22
 t(3, 2), ray: 77 >> ray: 202.300003, colonm_point: 22
 t(3, 2), ray: 78 >> ray: 202.199997, colonm_point: 21
 t(3, 2), ray: 79 >> ray: 202.100006, colonm_point: 21
 t(3, 2), ray: 80 >> ray: 202.000000, colonm_point: 21
 t(3, 2), ray: 81 >> ray: 201.899994, colonm_point: 20
 t(3, 2), ray: 82 >> ray: 201.800003, colonm_point: 20
 t(3, 2), ray: 83 >> ray: 201.699997, colonm_point: 19
 t(3, 2), ray: 84 >> ray: 201.600006, colonm_point: 19
 t(3, 2), ray: 85 >> ray: 201.500000, colonm_point: 19
 t(3, 2), ray: 86 >> ray: 201.399994, colonm_point: 18
 t(3, 2), ray: 87 >> ray: 201.300003, colonm_point: 18
 t(3, 2), ray: 88 >> ray: 201.199997, colonm_point: 17
 t(3, 2), ray: 89 >> ray: 201.100006, colonm_point: 17
 t(3, 2), ray: 90 >> ray: 201.000000, colonm_point: 16
 t(3, 2), ray: 91 >> ray: 200.899994, colonm_point: 16
 t(3, 2), ray: 92 >> ray: 200.800003, colonm_point: 15
 t(3, 2), ray: 93 >> ray: 200.699997, colonm_point: 15
 t(3, 2), ray: 94 >> ray: 200.600006, colonm_point: 14
 t(3, 2), ray: 95 >> ray: 200.500000, colonm_point: 14
 t(3, 2), ray: 96 >> ray: 200.399994, colonm_point: 13
 t(3, 2), ray: 97 >> ray: 200.300003, colonm_point: 13
 t(3, 2), ray: 98 >> ray: 200.199997, colonm_point: 12
 t(3, 2), ray: 99 >> ray: 200.100006, colonm_point: 12
 t(3, 2), ray: 100 >> ray: 200.000000, colonm_point: 11
 t(3, 2), ray: 101 >> ray: 199.899994, colonm_point: 11
 t(3, 2), ray: 102 >> ray: 199.800003, colonm_point: 10
 t(3, 2), ray: 103 >> ray: 199.699997, colonm_point: 10
 t(3, 2), ray: 104 >> ray: 199.600006, colonm_point: 9
 t(3, 2), ray: 105 >> ray: 199.500000, colonm_point: 9
 t(3, 2), ray: 106 >> ray: 199.399994, colonm_point: 8
 t(3, 2), ray: 107 >> ray: 199.300003, colonm_point: 8
 t(3, 2), ray: 108 >> ray: 199.199997, colonm_point: 7
 t(3, 2), ray: 109 >> ray: 199.100006, colonm_point: 7
 t(3, 2), ray: 110 >> ray: 199.000000, colonm_point: 6
 t(3, 2), ray: 111 >> ray: 198.899994, colonm_point: 6
 t(3, 2), ray: 112 >> ray: 198.800003, colonm_point: 5
 t(3, 2), ray: 113 >> ray: 198.699997, colonm_point: 5
 t(3, 2), ray: 114 >> ray: 198.600006, colonm_point: 4
 t(3, 2), ray: 115 >> ray: 198.500000, colonm_point: 3
 t(3, 2), ray: 116 >> ray: 198.399994, colonm_point: 3
 t(3, 2), ray: 117 >> ray: 198.300003, colonm_point: 2
 t(3, 2), ray: 118 >> ray: 198.199997, colonm_point: 2
 t(3, 2), ray: 119 >> ray: 198.100006, colonm_point: 1
 t(3, 2), ray: 120 >> ray: 198.000000, colonm_point: 1
 t(3, 2), ray: 121 >> ray: 197.899994, colonm_point: 0
 t(2, 2), ray: 122 >> ray: 197.800003, colonm_point: 63
 t(2, 2), ray: 123 >> ray: 197.699997, colonm_point: 63
 t(2, 2), ray: 124 >> ray: 197.600006, colonm_point: 62
 t(2, 2), ray: 125 >> ray: 197.500000, colonm_point: 61
 t(2, 2), ray: 126 >> ray: 197.399994, colonm_point: 61
 t(2, 2), ray: 127 >> ray: 197.300003, colonm_point: 60
 t(2, 2), ray: 128 >> ray: 197.199997, colonm_point: 59
 t(2, 2), ray: 129 >> ray: 197.100006, colonm_point: 59
 t(2, 2), ray: 130 >> ray: 197.000000, colonm_point: 58
 t(2, 2), ray: 131 >> ray: 196.899994, colonm_point: 57
 t(2, 2), ray: 132 >> ray: 196.800003, colonm_point: 57
 t(2, 2), ray: 133 >> ray: 196.699997, colonm_point: 56
 t(2, 2), ray: 134 >> ray: 196.600006, colonm_point: 55
 t(2, 2), ray: 135 >> ray: 196.500000, colonm_point: 55
 t(2, 2), ray: 136 >> ray: 196.399994, colonm_point: 54
 t(2, 2), ray: 137 >> ray: 196.300003, colonm_point: 53
 t(2, 2), ray: 138 >> ray: 196.199997, colonm_point: 52
 t(2, 2), ray: 139 >> ray: 196.100006, colonm_point: 52
 t(2, 2), ray: 140 >> ray: 196.000000, colonm_point: 51
 t(2, 2), ray: 141 >> ray: 195.899994, colonm_point: 50
 t(2, 2), ray: 142 >> ray: 195.800003, colonm_point: 49
 t(2, 2), ray: 143 >> ray: 195.699997, colonm_point: 49
 t(2, 2), ray: 144 >> ray: 195.600006, colonm_point: 48
 t(2, 2), ray: 145 >> ray: 195.500000, colonm_point: 47
 t(2, 2), ray: 146 >> ray: 195.399994, colonm_point: 46
 t(2, 2), ray: 147 >> ray: 195.300003, colonm_point: 45
 t(2, 2), ray: 148 >> ray: 195.199997, colonm_point: 45
 t(2, 2), ray: 149 >> ray: 195.100006, colonm_point: 44
 t(2, 2), ray: 150 >> ray: 195.000000, colonm_point: 43
 t(2, 2), ray: 151 >> ray: 194.899994, colonm_point: 42
 t(2, 2), ray: 152 >> ray: 194.800003, colonm_point: 41
 t(2, 2), ray: 153 >> ray: 194.699997, colonm_point: 40
 t(2, 2), ray: 154 >> ray: 194.600006, colonm_point: 39
 t(2, 2), ray: 155 >> ray: 194.500000, colonm_point: 39
 t(2, 2), ray: 156 >> ray: 194.399994, colonm_point: 38
 t(2, 2), ray: 157 >> ray: 194.300003, colonm_point: 37
 t(2, 2), ray: 158 >> ray: 194.199997, colonm_point: 36
 t(2, 2), ray: 159 >> ray: 194.100006, colonm_point: 35
 t(2, 2), ray: 160 >> ray: 194.000000, colonm_point: 34
 t(2, 2), ray: 161 >> ray: 193.899994, colonm_point: 33
 t(2, 2), ray: 162 >> ray: 193.800003, colonm_point: 32
 t(2, 2), ray: 163 >> ray: 193.699997, colonm_point: 31
 t(2, 2), ray: 164 >> ray: 193.600006, colonm_point: 30
 t(2, 2), ray: 165 >> ray: 193.500000, colonm_point: 29
 t(2, 2), ray: 166 >> ray: 193.399994, colonm_point: 28
 t(2, 2), ray: 167 >> ray: 193.300003, colonm_point: 27
 t(2, 2), ray: 168 >> ray: 193.199997, colonm_point: 26
 t(2, 2), ray: 169 >> ray: 193.100006, colonm_point: 24
 t(2, 2), ray: 170 >> ray: 193.000000, colonm_point: 23
 t(2, 2), ray: 171 >> ray: 192.899994, colonm_point: 22
 t(2, 2), ray: 172 >> ray: 192.800003, colonm_point: 21
 t(2, 2), ray: 173 >> ray: 192.699997, colonm_point: 20
 t(2, 2), ray: 174 >> ray: 192.600006, colonm_point: 19
 t(2, 2), ray: 175 >> ray: 192.500000, colonm_point: 18
 t(2, 2), ray: 176 >> ray: 192.399994, colonm_point: 16
 t(2, 2), ray: 177 >> ray: 192.300003, colonm_point: 15
 t(2, 2), ray: 178 >> ray: 192.199997, colonm_point: 14
 t(2, 2), ray: 179 >> ray: 192.100006, colonm_point: 13
 t(2, 2), ray: 180 >> ray: 192.000000, colonm_point: 11
 t(2, 2), ray: 181 >> ray: 191.899994, colonm_point: 10
 t(2, 2), ray: 182 >> ray: 191.800003, colonm_point: 9
 t(2, 2), ray: 183 >> ray: 191.699997, colonm_point: 7
 t(2, 2), ray: 184 >> ray: 191.600006, colonm_point: 6
 t(2, 2), ray: 185 >> ray: 191.500000, colonm_point: 4
 t(2, 2), ray: 186 >> ray: 191.399994, colonm_point: 3
 t(2, 2), ray: 187 >> ray: 191.300003, colonm_point: 1
 t(2, 2), ray: 188 >> ray: 191.199997, colonm_point: 0
 t(1, 2), ray: 189 >> ray: 191.100006, colonm_point: 62
 t(1, 2), ray: 190 >> ray: 191.000000, colonm_point: 61
 t(1, 2), ray: 191 >> ray: 190.899994, colonm_point: 59
 t(1, 2), ray: 192 >> ray: 190.800003, colonm_point: 58
 t(1, 2), ray: 193 >> ray: 190.699997, colonm_point: 56
 t(1, 2), ray: 194 >> ray: 190.600006, colonm_point: 55
 t(1, 2), ray: 195 >> ray: 190.500000, colonm_point: 53
 t(1, 2), ray: 196 >> ray: 190.399994, colonm_point: 51
 t(1, 2), ray: 197 >> ray: 190.300003, colonm_point: 49
 t(1, 2), ray: 198 >> ray: 190.199997, colonm_point: 48
 t(1, 2), ray: 199 >> ray: 190.100006, colonm_point: 46
 t(1, 2), ray: 200 >> ray: 190.000000, colonm_point: 44
 t(1, 2), ray: 201 >> ray: 189.899994, colonm_point: 42
 t(1, 2), ray: 202 >> ray: 189.800003, colonm_point: 40
 t(1, 2), ray: 203 >> ray: 189.699997, colonm_point: 38
 t(1, 2), ray: 204 >> ray: 189.600006, colonm_point: 36
 t(1, 2), ray: 205 >> ray: 189.500000, colonm_point: 34
 t(1, 2), ray: 206 >> ray: 189.399994, colonm_point: 32
 t(1, 2), ray: 207 >> ray: 189.300003, colonm_point: 30
 t(1, 2), ray: 208 >> ray: 189.199997, colonm_point: 28
 t(1, 2), ray: 209 >> ray: 189.100006, colonm_point: 25
 t(1, 2), ray: 210 >> ray: 189.000000, colonm_point: 23
 t(1, 2), ray: 211 >> ray: 188.899994, colonm_point: 21
 t(1, 2), ray: 212 >> ray: 188.800003, colonm_point: 18
 t(1, 2), ray: 213 >> ray: 188.699997, colonm_point: 16
 t(1, 2), ray: 214 >> ray: 188.600006, colonm_point: 14
 t(1, 2), ray: 215 >> ray: 188.500000, colonm_point: 11
 t(1, 2), ray: 216 >> ray: 188.399994, colonm_point: 8
 t(1, 2), ray: 217 >> ray: 188.300003, colonm_point: 6
 t(1, 2), ray: 218 >> ray: 188.199997, colonm_point: 3
 t(1, 2), ray: 219 >> ray: 188.100006, colonm_point: 0
 t(0, 1), ray: 220 >> ray: 188.000000, colonm_point: 0
 t(0, 1), ray: 221 >> ray: 187.899994, colonm_point: 0
 t(0, 1), ray: 222 >> ray: 187.800003, colonm_point: 1
 t(0, 1), ray: 223 >> ray: 187.699997, colonm_point: 1
 t(0, 1), ray: 224 >> ray: 187.600006, colonm_point: 1
 t(0, 1), ray: 225 >> ray: 187.500000, colonm_point: 2
 t(0, 1), ray: 226 >> ray: 187.399994, colonm_point: 2
 t(0, 1), ray: 227 >> ray: 187.300003, colonm_point: 3
 t(0, 1), ray: 228 >> ray: 187.199997, colonm_point: 3
 t(0, 1), ray: 229 >> ray: 187.100006, colonm_point: 3
 t(0, 1), ray: 230 >> ray: 187.000000, colonm_point: 4
 t(0, 1), ray: 231 >> ray: 186.899994, colonm_point: 4
 t(0, 1), ray: 232 >> ray: 186.800003, colonm_point: 5
 t(0, 1), ray: 233 >> ray: 186.699997, colonm_point: 5
 t(0, 1), ray: 234 >> ray: 186.600006, colonm_point: 5
 t(0, 1), ray: 235 >> ray: 186.500000, colonm_point: 6
 t(0, 1), ray: 236 >> ray: 186.399994, colonm_point: 6
 t(0, 1), ray: 237 >> ray: 186.300003, colonm_point: 7
 t(0, 1), ray: 238 >> ray: 186.199997, colonm_point: 7
 t(0, 1), ray: 239 >> ray: 186.100006, colonm_point: 7
 t(0, 1), ray: 240 >> ray: 186.000000, colonm_point: 8
 t(0, 1), ray: 241 >> ray: 185.899994, colonm_point: 8
 t(0, 1), ray: 242 >> ray: 185.800003, colonm_point: 9
 t(0, 1), ray: 243 >> ray: 185.699997, colonm_point: 9
 t(0, 1), ray: 244 >> ray: 185.600006, colonm_point: 9
 t(0, 1), ray: 245 >> ray: 185.500000, colonm_point: 10
 t(0, 1), ray: 246 >> ray: 185.399994, colonm_point: 10
 t(0, 1), ray: 247 >> ray: 185.300003, colonm_point: 11
 t(0, 1), ray: 248 >> ray: 185.199997, colonm_point: 11
 t(0, 1), ray: 249 >> ray: 185.100006, colonm_point: 11
 t(0, 1), ray: 250 >> ray: 185.000000, colonm_point: 12
 t(0, 1), ray: 251 >> ray: 184.899994, colonm_point: 12
 t(0, 1), ray: 252 >> ray: 184.800003, colonm_point: 13
 t(0, 1), ray: 253 >> ray: 184.699997, colonm_point: 13
 t(0, 1), ray: 254 >> ray: 184.600006, colonm_point: 13
 t(0, 1), ray: 255 >> ray: 184.500000, colonm_point: 14
 t(0, 1), ray: 256 >> ray: 184.399994, colonm_point: 14
 t(0, 1), ray: 257 >> ray: 184.300003, colonm_point: 15
 t(0, 1), ray: 258 >> ray: 184.199997, colonm_point: 15
 t(0, 1), ray: 259 >> ray: 184.100006, colonm_point: 15
 t(0, 1), ray: 260 >> ray: 184.000000, colonm_point: 16
 t(0, 1), ray: 261 >> ray: 183.899994, colonm_point: 16
 t(0, 1), ray: 262 >> ray: 183.800003, colonm_point: 17
 t(0, 1), ray: 263 >> ray: 183.699997, colonm_point: 17
 t(0, 1), ray: 264 >> ray: 183.600006, colonm_point: 17
 t(0, 1), ray: 265 >> ray: 183.500000, colonm_point: 18
 t(0, 1), ray: 266 >> ray: 183.399994, colonm_point: 18
 t(0, 1), ray: 267 >> ray: 183.300003, colonm_point: 19
 t(0, 1), ray: 268 >> ray: 183.199997, colonm_point: 19
 t(0, 1), ray: 269 >> ray: 183.100006, colonm_point: 19
 t(0, 1), ray: 270 >> ray: 183.000000, colonm_point: 20
 t(0, 1), ray: 271 >> ray: 182.899994, colonm_point: 20
 t(0, 1), ray: 272 >> ray: 182.800003, colonm_point: 21
 t(0, 1), ray: 273 >> ray: 182.699997, colonm_point: 21
 t(0, 1), ray: 274 >> ray: 182.600006, colonm_point: 21
 t(0, 1), ray: 275 >> ray: 182.500000, colonm_point: 22
 t(0, 1), ray: 276 >> ray: 182.399994, colonm_point: 22
 t(0, 1), ray: 277 >> ray: 182.300003, colonm_point: 22
 t(0, 1), ray: 278 >> ray: 182.199997, colonm_point: 23
 t(0, 1), ray: 279 >> ray: 182.100006, colonm_point: 23
 t(0, 1), ray: 280 >> ray: 182.000000, colonm_point: 24
 t(0, 1), ray: 281 >> ray: 181.899994, colonm_point: 24
 t(0, 1), ray: 282 >> ray: 181.800003, colonm_point: 24
 t(0, 1), ray: 283 >> ray: 181.699997, colonm_point: 25
 t(0, 1), ray: 284 >> ray: 181.600006, colonm_point: 25
 t(0, 1), ray: 285 >> ray: 181.500000, colonm_point: 26
 t(0, 1), ray: 286 >> ray: 181.399994, colonm_point: 26
 t(0, 1), ray: 287 >> ray: 181.300003, colonm_point: 26
 t(0, 1), ray: 288 >> ray: 181.199997, colonm_point: 27
 t(0, 1), ray: 289 >> ray: 181.100006, colonm_point: 27
 t(0, 1), ray: 290 >> ray: 181.000000, colonm_point: 28
 t(0, 1), ray: 291 >> ray: 180.899994, colonm_point: 28
 t(0, 1), ray: 292 >> ray: 180.800003, colonm_point: 28
 t(0, 1), ray: 293 >> ray: 180.699997, colonm_point: 29
 t(0, 1), ray: 294 >> ray: 180.600006, colonm_point: 29
 t(0, 1), ray: 295 >> ray: 180.500000, colonm_point: 30
 t(0, 1), ray: 296 >> ray: 180.399994, colonm_point: 30
 t(0, 1), ray: 297 >> ray: 180.300003, colonm_point: 30
 t(0, 1), ray: 298 >> ray: 180.199997, colonm_point: 31
 t(0, 1), ray: 299 >> ray: 180.100006, colonm_point: 31
 t(0, 1), ray: 300 >> ray: 180.000000, colonm_point: 31
 t(0, 1), ray: 301 >> ray: 179.899994, colonm_point: 32
 t(0, 1), ray: 302 >> ray: 179.800003, colonm_point: 32
 t(0, 1), ray: 303 >> ray: 179.699997, colonm_point: 33
 t(0, 1), ray: 304 >> ray: 179.600006, colonm_point: 33
 t(0, 1), ray: 305 >> ray: 179.500000, colonm_point: 33
 t(0, 1), ray: 306 >> ray: 179.399994, colonm_point: 34
 t(0, 1), ray: 307 >> ray: 179.300003, colonm_point: 34
 t(0, 1), ray: 308 >> ray: 179.199997, colonm_point: 35
 t(0, 1), ray: 309 >> ray: 179.100006, colonm_point: 35
 t(0, 1), ray: 310 >> ray: 179.000000, colonm_point: 35
 t(0, 1), ray: 311 >> ray: 178.899994, colonm_point: 36
 t(0, 1), ray: 312 >> ray: 178.800003, colonm_point: 36
 t(0, 1), ray: 313 >> ray: 178.699997, colonm_point: 37
 t(0, 1), ray: 314 >> ray: 178.600006, colonm_point: 37
 t(0, 1), ray: 315 >> ray: 178.500000, colonm_point: 37
 t(0, 1), ray: 316 >> ray: 178.399994, colonm_point: 38
 t(0, 1), ray: 317 >> ray: 178.300003, colonm_point: 38
 t(0, 1), ray: 318 >> ray: 178.199997, colonm_point: 39
 t(0, 1), ray: 319 >> ray: 178.100006, colonm_point: 39
 t(0, 1), ray: 320 >> ray: 178.000000, colonm_point: 39
 t(0, 1), ray: 321 >> ray: 177.899994, colonm_point: 40
 t(0, 1), ray: 322 >> ray: 177.800003, colonm_point: 40
 t(0, 1), ray: 323 >> ray: 177.699997, colonm_point: 41
 t(0, 1), ray: 324 >> ray: 177.600006, colonm_point: 41
 t(0, 1), ray: 325 >> ray: 177.500000, colonm_point: 41
 t(0, 1), ray: 326 >> ray: 177.399994, colonm_point: 42
 t(0, 1), ray: 327 >> ray: 177.300003, colonm_point: 42
 t(0, 1), ray: 328 >> ray: 177.199997, colonm_point: 42
 t(0, 1), ray: 329 >> ray: 177.100006, colonm_point: 43
 t(0, 1), ray: 330 >> ray: 177.000000, colonm_point: 43
 t(0, 1), ray: 331 >> ray: 176.899994, colonm_point: 44
 t(0, 1), ray: 332 >> ray: 176.800003, colonm_point: 44
 t(0, 1), ray: 333 >> ray: 176.699997, colonm_point: 44
 t(0, 1), ray: 334 >> ray: 176.600006, colonm_point: 45
 t(0, 1), ray: 335 >> ray: 176.500000, colonm_point: 45
 t(0, 1), ray: 336 >> ray: 176.399994, colonm_point: 46
 t(0, 1), ray: 337 >> ray: 176.300003, colonm_point: 46
 t(0, 1), ray: 338 >> ray: 176.199997, colonm_point: 46
 t(0, 1), ray: 339 >> ray: 176.100006, colonm_point: 47
 t(0, 1), ray: 340 >> ray: 176.000000, colonm_point: 47
 t(0, 1), ray: 341 >> ray: 175.899994, colonm_point: 48
 t(0, 1), ray: 342 >> ray: 175.800003, colonm_point: 48
 t(0, 1), ray: 343 >> ray: 175.699997, colonm_point: 48
 t(0, 1), ray: 344 >> ray: 175.600006, colonm_point: 49
 t(0, 1), ray: 345 >> ray: 175.500000, colonm_point: 49
 t(0, 1), ray: 346 >> ray: 175.399994, colonm_point: 50
 t(0, 1), ray: 347 >> ray: 175.300003, colonm_point: 50
 t(0, 1), ray: 348 >> ray: 175.199997, colonm_point: 50
 t(0, 1), ray: 349 >> ray: 175.100006, colonm_point: 51
 t(0, 1), ray: 350 >> ray: 175.000000, colonm_point: 51
 t(0, 1), ray: 351 >> ray: 174.899994, colonm_point: 52
 t(0, 1), ray: 352 >> ray: 174.800003, colonm_point: 52
 t(0, 1), ray: 353 >> ray: 174.699997, colonm_point: 52
 t(0, 1), ray: 354 >> ray: 174.600006, colonm_point: 53
 t(0, 1), ray: 355 >> ray: 174.500000, colonm_point: 53
 t(0, 1), ray: 356 >> ray: 174.399994, colonm_point: 54
 t(0, 1), ray: 357 >> ray: 174.300003, colonm_point: 54
 t(0, 1), ray: 358 >> ray: 174.199997, colonm_point: 54
 t(0, 1), ray: 359 >> ray: 174.100006, colonm_point: 55
 t(0, 1), ray: 360 >> ray: 174.000000, colonm_point: 55
 t(0, 1), ray: 361 >> ray: 173.899994, colonm_point: 56
 t(0, 1), ray: 362 >> ray: 173.800003, colonm_point: 56
 t(0, 1), ray: 363 >> ray: 173.699997, colonm_point: 56
 t(0, 1), ray: 364 >> ray: 173.600006, colonm_point: 57
 t(0, 1), ray: 365 >> ray: 173.500000, colonm_point: 57
 t(0, 1), ray: 366 >> ray: 173.399994, colonm_point: 58
 t(0, 1), ray: 367 >> ray: 173.300003, colonm_point: 58
 t(0, 1), ray: 368 >> ray: 173.199997, colonm_point: 58
 t(0, 1), ray: 369 >> ray: 173.100006, colonm_point: 59
 t(0, 1), ray: 370 >> ray: 173.000000, colonm_point: 59
 t(0, 1), ray: 371 >> ray: 172.899994, colonm_point: 60
 t(0, 1), ray: 372 >> ray: 172.800003, colonm_point: 60
 t(0, 1), ray: 373 >> ray: 172.699997, colonm_point: 60
 t(0, 1), ray: 374 >> ray: 172.600006, colonm_point: 61
 t(0, 1), ray: 375 >> ray: 172.500000, colonm_point: 61
 t(0, 1), ray: 376 >> ray: 172.399994, colonm_point: 62
 t(0, 1), ray: 377 >> ray: 172.300003, colonm_point: 62
 t(0, 1), ray: 378 >> ray: 172.199997, colonm_point: 62
 t(0, 1), ray: 379 >> ray: 172.100006, colonm_point: 63
 t(0, 1), ray: 380 >> ray: 172.000000, colonm_point: 63
 t(1, 0), ray: 381 >> ray: 171.899994, colonm_point: 63
 t(1, 0), ray: 382 >> ray: 171.800003, colonm_point: 60
 t(1, 0), ray: 383 >> ray: 171.699997, colonm_point: 57
 t(1, 0), ray: 384 >> ray: 171.600006, colonm_point: 55
 t(1, 0), ray: 385 >> ray: 171.500000, colonm_point: 52
 t(1, 0), ray: 386 >> ray: 171.399994, colonm_point: 49
 t(1, 0), ray: 387 >> ray: 171.300003, colonm_point: 47
 t(1, 0), ray: 388 >> ray: 171.199997, colonm_point: 45
 t(1, 0), ray: 389 >> ray: 171.100006, colonm_point: 42
 t(1, 0), ray: 390 >> ray: 171.000000, colonm_point: 40
 t(1, 0), ray: 391 >> ray: 170.899994, colonm_point: 38
 t(1, 0), ray: 392 >> ray: 170.800003, colonm_point: 35
 t(1, 0), ray: 393 >> ray: 170.699997, colonm_point: 33
 t(1, 0), ray: 394 >> ray: 170.600006, colonm_point: 31
 t(1, 0), ray: 395 >> ray: 170.500000, colonm_point: 29
 t(1, 0), ray: 396 >> ray: 170.399994, colonm_point: 27
 t(1, 0), ray: 397 >> ray: 170.300003, colonm_point: 25
 t(1, 0), ray: 398 >> ray: 170.199997, colonm_point: 23
 t(1, 0), ray: 399 >> ray: 170.100006, colonm_point: 21
 t(1, 0), ray: 400 >> ray: 170.000000, colonm_point: 19
 t(1, 0), ray: 401 >> ray: 169.899994, colonm_point: 17
 t(1, 0), ray: 402 >> ray: 169.800003, colonm_point: 15
 t(1, 0), ray: 403 >> ray: 169.699997, colonm_point: 14
 t(1, 0), ray: 404 >> ray: 169.600006, colonm_point: 12
